date,temp_avg,temp_min,temp_max
20151206,10.7,8,12.5
20151207,10.7,9.3,12.2
20151208,9.6,7.9,11.3
20151209,7.7,5.3,10.1
20151210,6.5,5.5,7.6
20151211,7.7,6.1,9.8
20151212,8.2,3.9,12.1
20151213,7,4.5,11.7
20151214,7.2,4.8,9.8
20151215,7.2,4.4,9.4
20151216,11.6,9.1,13.4
20151217,12.8,11,14.4
20151218,11.4,9.6,13.1
20151219,12.1,9.5,13.6
20151220,11.4,9.5,12.5
20151221,9.9,8,12.2
20151222,12.3,7.8,13.7
20151223,10,7.1,12.7
20151224,9.4,6.6,12.7
20151225,9.2,4.5,13.8
20151226,12.9,11,14.8
20151227,11.8,10.5,13.4
20151228,9.1,6.6,11.6
20151229,7.6,5.4,9.8
20151230,7.4,5.9,9.4
20151231,7.6,5.1,9.9
